CorOuRaca,Região,Total,Homem,Mulher,Ano
Total,Brasil,89.9,89.7,90.2, 2012
Total,Norte,83.5,83.1,83.9, 2012
Total,Nordeste,94.2,94.1,94.3, 2012
Total,Sudeste,91.3,90.4,92.3, 2012
Total,Sul,84.3,85.6,83.1, 2012
Total,Centro-Oeste,84.3,84.1,84.5, 2012
Branca,Brasil,90.1,89.3,90.8, 2012
Branca,Norte,83.8,83.6,84.1, 2012
Branca,Nordeste,95.0,95.7,94.4, 2012
Branca,Sudeste,91.6,89.2,94.2, 2012
Branca,Sul,84.4,86.2,82.6, 2012
Branca,Centro-Oeste,90.2,88.7,91.5, 2012
Preta ou parda,Brasil,89.8,89.9,89.7, 2012
Preta ou parda,Norte,83.4,82.9,83.9, 2012
Preta ou parda,Nordeste,93.9,93.6,94.3, 2012
Preta ou parda,Sudeste,90.8,91.5,90.0, 2012
Preta ou parda,Sul,84.0,83.4,84.6, 2012
Preta ou parda,Centro-Oeste,80.0,80.8,79.2, 2012
Total,Brasil,90.5,89.3,91.7, 2013
Total,Norte,84.8,82.2,87.6, 2013
Total,Nordeste,94.6,95.0,94.1, 2013
Total,Sudeste,90.2,87.8,92.5, 2013
Total,Sul,87.8,86.8,89.0, 2013
Total,Centro-Oeste,87.6,88.1,87.2, 2013
Branca,Brasil,91.2,90.2,92.3, 2013
Branca,Norte,92.9,92.2,93.6, 2013
Branca,Nordeste,95.7,95.5,95.8, 2013
Branca,Sudeste,90.9,89.3,92.7, 2013
Branca,Sul,88.7,87.6,89.8, 2013
Branca,Centro-Oeste,89.1,90.6,87.0, 2013
Preta ou parda,Brasil,89.9,88.8,91.1, 2013
Preta ou parda,Norte,82.8,79.9,85.9, 2013
Preta ou parda,Nordeste,94.2,94.8,93.5, 2013
Preta ou parda,Sudeste,89.4,86.3,92.4, 2013
Preta ou parda,Sul,84.4,83.5,85.6, 2013
Preta ou parda,Centro-Oeste,86.6,85.9,87.2, 2013
Total,Brasil,92.7,92.6,92.8, 2014
Total,Norte,87.4,85.9,88.9, 2014
Total,Nordeste,95.9,95.8,96.1, 2014
Total,Sudeste,93.4,93.8,92.9, 2014
Total,Sul,89.3,88.1,90.6, 2014
Total,Centro-Oeste,90.1,90.8,89.5, 2014
Branca,Brasil,93.5,93.6,93.4, 2014
Branca,Norte,86.6,89.6,84.2, 2014
Branca,Nordeste,95.9,96.1,95.6, 2014
Branca,Sudeste,95.5,95.4,95.6, 2014
Branca,Sul,89.3,88.8,89.8, 2014
Branca,Centro-Oeste,92.2,92.9,91.5, 2014
Preta ou parda,Brasil,92.2,91.9,92.5, 2014
Preta ou parda,Norte,87.5,85.3,89.9, 2014
Preta ou parda,Nordeste,96.0,95.7,96.2, 2014
Preta ou parda,Sudeste,90.7,91.6,89.9, 2014
Preta ou parda,Sul,90.3,87.0,93.4, 2014
Preta ou parda,Centro-Oeste,88.9,89.6,88.2, 2014
Total,Brasil,93.2,93.5,93.0,2015
Total,Norte,90.0,90.0,90.0,2015
Total,Nordeste,95.7,96.4,95.1,2015
Total,Sudeste,94.2,95.1,93.3,2015
Total,Sul,89.5,88.8,90.4,2015
Total,Centro-Oeste,89.7,88.3,91.3,2015
Branca,Brasil,93.6,93.6,93.6,2015
Branca,Norte,94.0,92.2,95.5,2015
Branca,Nordeste,97.8,97.0,98.5,2015
Branca,Sudeste,94.9,96.4,93.5,2015
Branca,Sul,88.9,88.0,90.0,2015
Branca,Centro-Oeste,90.7,88.2,93.2,2015
Preta ou parda,Brasil,93.0,93.6,92.4,2015
Preta ou parda,Norte,89.4,89.7,89.1,2015
Preta ou parda,Nordeste,95.0,96.2,93.8,2015
Preta ou parda,Sudeste,93.7,94.3,93.0,2015
Preta ou parda,Sul,91.4,91.3,91.5,2015
Preta ou parda,Centro-Oeste,89.0,88.2,89.9,2015
Total,Brasil,94.3,93.9,94.8, 2016
Total,Norte,90.5,90.5,90.5, 2016
Total,Nordeste,96.5,95.8,97.2, 2016
Total,Sudeste,94.5,93.9,95.1, 2016
Total,Sul,93.1,93.6,92.7, 2016
Total,Centro-Oeste,92.8,91.9,93.6, 2016
Branca,Brasil,95.0,94.9,95.2, 2016
Branca,Norte,96.7,98.0,95.7, 2016
Branca,Nordeste,96.9,97.6,96.3, 2016
Branca,Sudeste,95.4,94.7,96.3, 2016
Branca,Sul,92.6,93.2,92.0, 2016
Branca,Centro-Oeste,94.6,93.8,95.3, 2016
Preta ou parda,Brasil,93.7,93.1,94.4, 2016
Preta ou parda,Norte,88.8,88.9,88.7, 2016
Preta ou parda,Nordeste,96.3,95.2,97.4, 2016
Preta ou parda,Sudeste,93.3,93.0,93.8, 2016
Preta ou parda,Sul,94.9,94.9,94.9, 2016
Preta ou parda,Centro-Oeste,91.6,90.7,92.6, 2016
Total,Brasil,96.2,95.7,96.8,2017
Total,Norte,92.1,89.9,94.3,2017
Total,Nordeste,97.7,97.5,97.9,2017
Total,Sudeste,97.2,97.0,97.5,2017
Total,Sul,94.3,93.1,95.6,2017
Total,Centro-Oeste,94.8,95.2,94.4,2017
Branca,Brasil,96.6,96.4,96.8,2017
Branca,Norte,92.4,91.7,93.4,2017
Branca,Nordeste,97.5,97.6,97.4,2017
Branca,Sudeste,97.5,97.8,97.1,2017
Branca,Sul,95.4,94.6,96.2,2017
Branca,Centro-Oeste,95.3,94.0,96.8,2017
Preta ou parda,Brasil,96.0,95.2,96.8,2017
Preta ou parda,Norte,92.0,89.4,94.4,2017
Preta ou parda,Nordeste,97.8,97.5,98.1,2017
Preta ou parda,Sudeste,97.0,96.1,97.8,2017
Preta ou parda,Sul,91.3,89.0,93.7,2017
Preta ou parda,Centro-Oeste,94.5,95.7,93.0,2017
Total,Brasil,96.4,96.5,96.3,2018
Total,Norte,92.5,92.9,92.1,2018
Total,Nordeste,98.4,98.5,98.3,2018
Total,Sudeste,97.1,97.1,97.0,2018
Total,Sul,94.2,95.0,93.6,2018
Total,Centro-Oeste,94.5,93.6,95.4,2018
Branca,Brasil,96.6,96.9,96.4,2018
Branca,Norte,96.3,98.1,94.7,2018
Branca,Nordeste,98.8,99.4,98.3,2018
Branca,Sudeste,97.1,96.8,97.6,2018
Branca,Sul,94.6,95.9,93.4,2018
Branca,Centro-Oeste,94.0,93.9,94.2,2018
Preta ou parda,Brasil,96.3,96.3,96.3,2018
Preta ou parda,Norte,91.6,91.4,91.8,2018
Preta ou parda,Nordeste,98.2,98.1,98.3,2018
Preta ou parda,Sudeste,97.1,97.7,96.4,2018
Preta ou parda,Sul,93.4,92.5,94.1,2018
Preta ou parda,Centro-Oeste,94.7,93.3,96.0,2018
Total,Brasil,97.0,96.5,97.5,2019
Total,Norte,93.9,94.0,93.7,2019
Total,Nordeste,98.3,98.3,98.3,2019
Total,Sudeste,97.4,96.8,98.1,2019
Total,Sul,96.9,96.5,97.2,2019
Total,Centro-Oeste,94.7,92.1,97.5,2019
Branca,Brasil,97.5,97.0,98.1,2019
Branca,Norte,96.4,98.4,94.0,2019
Branca,Nordeste,98.1,97.5,98.7,2019
Branca,Sudeste,98.1,97.0,99.1,2019
Branca,Sul,97.2,97.4,97.0,2019
Branca,Centro-Oeste,94.7,93.6,95.9,2019
Preta ou parda,Brasil,96.6,96.2,97.0,2019
Preta ou parda,Norte,93.2,93.0,93.5,2019
Preta ou parda,Nordeste,98.3,98.5,98.2,2019
Preta ou parda,Sudeste,96.8,96.7,96.9,2019
Preta ou parda,Sul,96.0,94.1,97.9,2019
Preta ou parda,Centro-Oeste,94.7,91.1,98.4,2019
Total,Brasil,95.9,95.9,96.0,2022
Total,Norte,89.9,89.4,90.3,2022
Total,Nordeste,96.7,97.1,96.4,2022
Total,Sudeste,97.0,96.7,97.2,2022
Total,Sul,96.6,97.1,96.0,2022
Total,Centro-Oeste,95.2,94.8,95.6,2022
Branca,Brasil,96.3,96.7,95.8,2022
Branca,Norte,92.8,95.7,90.2,2022
Branca,Nordeste,95.9,96.6,95.1,2022
Branca,Sudeste,97.3,97.3,97.4,2022
Branca,Sul,96.0,97.1,94.8,2022
Branca,Centro-Oeste,93.7,92.6,94.8,2022
Preta ou parda,Brasil,95.7,95.4,96.0,2022
Preta ou parda,Norte,89.2,88.1,90.3,2022
Preta ou parda,Nordeste,97.0,97.2,96.7,2022
Preta ou parda,Sudeste,96.6,96.1,97.1,2022
Preta ou parda,Sul,98.3,97.2,99.5,2022
Preta ou parda,Centro-Oeste,96.0,95.9,96.1,2022